{{-2, 0, -1, i}, {-1 - i, 0, -1, 0}, {2, i, 0, 1 - i}, {1, 0, 0, 1 - i}}
{{-2, 0, -1, i}, {-1 - i, 0, -1, 0}, {2, i, 0, 1 - i}, {1, i, 0, 0}}
{{-2, 0, -1, i}, {-1 - i, 0, -1, 0}, {2 + i, 0, 1, 0}, {1, i, 0, 0}}
{{-2, 0, -1, i}, {-1 - i, 0, -1, 0}, {2 + i, 0, 1, 0}, {1 + i, -i, 1, 0}}
{{-2, 0, -1, i}, {-1 - i, 0, -1, 0}, {2 + i, -i, 1, 1 - i}, {1, 0, 0, 1 - i}}
{{-2, 0, -1, i}, {-1 - i, 0, -1, 0}, {2 + i, -i, 1, 1 - i}, {1 + i, -i, 1, 0}}
{{-2, 0, -1, i}, {-1 - i, 1, 0, -1}, {2, i, 0, 1 - i}, {1, 0, 0, 1 - i}}
{{-2, 0, -1, i}, {-1 - i, 1, 0, -1}, {2, i, 0, 1 - i}, {1, i, 0, 0}}
{{-2, 0, -1, i}, {-1 - i, 1, 0, -1}, {2 + i, 0, 1 + i, 1 - 2*i}, {1, 0, 0, 1 - i}}
{{-2, 0, -1, i}, {-1 - i, 1, 0, -1}, {2 + i, 0, 1 + i, 1 - 2*i}, {1 + i, 0, 1 + i, -i}}
{{-2, 0, -1, i}, {-1 - i, 1, 0, -1}, {2 + i, i, 1 + i, -i}, {1, i, 0, 0}}
{{-2, 0, -1, i}, {-1 - i, 1, 0, -1}, {2 + i, i, 1 + i, -i}, {1 + i, 0, 1 + i, -i}}
{{-2, 0, -1, i}, {-i, -1, -i, -1}, {2 + i, 0, 1 + i, 1 - 2*i}, {1, 0, 0, 1 - i}}
{{-2, 0, -1, i}, {-i, -1, -i, -1}, {2 + i, 0, 1 + i, 1 - 2*i}, {1 + i, 0, 1 + i, -i}}
{{-2, 0, -1, i}, {-i, -1, -i, -1}, {2 + i, -i, 1, 1 - i}, {1, 0, 0, 1 - i}}
{{-2, 0, -1, i}, {-i, -1, -i, -1}, {2 + i, -i, 1, 1 - i}, {1 + i, -i, 1, 0}}
{{-2, 0, -1, i}, {-i, -1, -i, -1}, {2 + 2*i, -i, 2 + i, -i}, {1 + i, 0, 1 + i, -i}}
{{-2, 0, -1, i}, {-i, -1, -i, -1}, {2 + 2*i, -i, 2 + i, -i}, {1 + i, -i, 1, 0}}
{{-2, 0, -1, i}, {-i, 0, -i, i}, {2 + i, 0, 1, 0}, {1, i, 0, 0}}
{{-2, 0, -1, i}, {-i, 0, -i, i}, {2 + i, 0, 1, 0}, {1 + i, -i, 1, 0}}
{{-2, 0, -1, i}, {-i, 0, -i, i}, {2 + i, i, 1 + i, -i}, {1, i, 0, 0}}
{{-2, 0, -1, i}, {-i, 0, -i, i}, {2 + i, i, 1 + i, -i}, {1 + i, 0, 1 + i, -i}}
{{-2, 0, -1, i}, {-i, 0, -i, i}, {2 + 2*i, -i, 2 + i, -i}, {1 + i, 0, 1 + i, -i}}
{{-2, 0, -1, i}, {-i, 0, -i, i}, {2 + 2*i, -i, 2 + i, -i}, {1 + i, -i, 1, 0}}
{{-2, 0, -1 + i, -i}, {-1 - i, 0, -1, 0}, {2, i, 1 - i, -1 + i}, {1, 0, 1 - i, -1 + i}}
{{-2, 0, -1 + i, -i}, {-1 - i, 0, -1, 0}, {2, i, 1 - i, -1 + i}, {1, i, 0, 0}}
{{-2, 0, -1 + i, -i}, {-1 - i, 0, -1, 0}, {2 + i, 0, 1, 0}, {1, i, 0, 0}}
{{-2, 0, -1 + i, -i}, {-1 - i, 0, -1, 0}, {2 + i, 0, 1, 0}, {1 + i, -i, 1, 0}}
{{-2, 0, -1 + i, -i}, {-1 - i, 0, -1, 0}, {2 + i, -i, 2 - i, -1 + i}, {1, 0, 1 - i, -1 + i}}
{{-2, 0, -1 + i, -i}, {-1 - i, 0, -1, 0}, {2 + i, -i, 2 - i, -1 + i}, {1 + i, -i, 1, 0}}
{{-2, 0, -1 + i, -i}, {-1 - i, 1, -1, 1}, {2, i, 1 - i, -1 + i}, {1, 0, 1 - i, -1 + i}}
{{-2, 0, -1 + i, -i}, {-1 - i, 1, -1, 1}, {2, i, 1 - i, -1 + i}, {1, i, 0, 0}}
{{-2, 0, -1 + i, -i}, {-1 - i, 1, -1, 1}, {2 + i, 0, 2 - i, -1 + 2*i}, {1, 0, 1 - i, -1 + i}}
{{-2, 0, -1 + i, -i}, {-1 - i, 1, -1, 1}, {2 + i, 0, 2 - i, -1 + 2*i}, {1 + i, 0, 1, i}}
